program	rlength	damage	collapsed	seqtype	per_base_sequence_content	overrepresented_sequences	adapter_content
adapterremoval	long	heavy	TRUE	SE	pass	pass	pass
adapterremoval	long	heavy	TRUE	SE	pass	pass	pass
adapterremoval	long	heavy	TRUE	PE	pass	pass	pass
adapterremoval	long	heavy	TRUE	PE	pass	pass	pass
adapterremoval	long	heavy	FALSE	PE	pass	pass	pass
adapterremoval	long	heavy	FALSE	PE	pass	pass	pass
adapterremoval	long	light	TRUE	SE	pass	pass	pass
adapterremoval	long	light	TRUE	SE	pass	pass	pass
adapterremoval	long	light	TRUE	PE	pass	pass	pass
adapterremoval	long	light	TRUE	PE	pass	pass	pass
adapterremoval	long	light	FALSE	PE	pass	pass	pass
adapterremoval	long	light	FALSE	PE	pass	pass	pass
adapterremoval	long	none	TRUE	SE	pass	pass	pass
adapterremoval	long	none	TRUE	SE	pass	pass	pass
adapterremoval	long	none	TRUE	PE	pass	pass	pass
adapterremoval	long	none	TRUE	PE	pass	pass	pass
adapterremoval	long	none	FALSE	PE	pass	pass	pass
adapterremoval	long	none	FALSE	PE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	SE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	SE	pass	pass	pass
adapterremoval	medium	heavy	TRUE	PE	pass	pass	warn
adapterremoval	medium	heavy	TRUE	PE	pass	pass	pass
adapterremoval	medium	heavy	FALSE	PE	pass	pass	pass
adapterremoval	medium	heavy	FALSE	PE	pass	pass	pass
adapterremoval	medium	light	TRUE	SE	pass	pass	pass
adapterremoval	medium	light	TRUE	SE	pass	pass	pass
adapterremoval	medium	light	TRUE	PE	pass	pass	warn
adapterremoval	medium	light	TRUE	PE	pass	pass	pass
adapterremoval	medium	light	FALSE	PE	pass	pass	pass
adapterremoval	medium	light	FALSE	PE	pass	pass	pass
adapterremoval	medium	none	TRUE	SE	pass	pass	pass
adapterremoval	medium	none	TRUE	SE	pass	pass	pass
adapterremoval	medium	none	TRUE	PE	pass	pass	warn
adapterremoval	medium	none	TRUE	PE	pass	pass	pass
adapterremoval	medium	none	FALSE	PE	pass	pass	pass
adapterremoval	medium	none	FALSE	PE	pass	pass	pass
adapterremoval	short	heavy	TRUE	SE	fail	pass	pass
